Sequence,mcg,gvh,lip,chg,aac,alm1,alm2,label,labelpp
DEOC_ECOLI,0.34,0.33,0.48,0.50,0.38,0.35,0.44,cp,1
DLDH_ECOLI,0.56,0.51,0.48,0.50,0.34,0.37,0.46,cp,1
EFG_ECOLI,0.40,0.29,0.48,0.50,0.42,0.35,0.44,cp,1
EFTS_ECOLI,0.24,0.35,0.48,0.50,0.31,0.19,0.31,cp,1
EFTU_ECOLI,0.36,0.54,0.48,0.50,0.41,0.38,0.46,cp,1
ENO_ECOLI,0.29,0.52,0.48,0.50,0.42,0.29,0.39,cp,1
FABB_ECOLI,0.65,0.47,0.48,0.50,0.59,0.30,0.40,cp,1
FES_ECOLI,0.32,0.42,0.48,0.50,0.35,0.28,0.38,cp,1
G3P1_ECOLI,0.38,0.46,0.48,0.50,0.48,0.22,0.29,cp,1
G3P2_ECOLI,0.33,0.45,0.48,0.50,0.52,0.32,0.41,cp,1
G6PI_ECOLI,0.30,0.37,0.48,0.50,0.59,0.41,0.49,cp,1
GCVA_ECOLI,0.40,0.50,0.48,0.50,0.45,0.39,0.47,cp,1
GLNA_ECOLI,0.28,0.38,0.48,0.50,0.50,0.33,0.42,cp,1
GLPD_ECOLI,0.61,0.45,0.48,0.50,0.48,0.35,0.41,cp,1
GLYA_ECOLI,0.17,0.38,0.48,0.50,0.45,0.42,0.50,cp,1
GSHR_ECOLI,0.44,0.35,0.48,0.50,0.55,0.55,0.61,cp,1
GT_ECOLI,0.43,0.40,0.48,0.50,0.39,0.28,0.39,cp,1
HEM6_ECOLI,0.42,0.35,0.48,0.50,0.58,0.15,0.27,cp,1
HEMN_ECOLI,0.23,0.33,0.48,0.50,0.43,0.33,0.43,cp,1
HPRT_ECOLI,0.37,0.52,0.48,0.50,0.42,0.42,0.36,cp,1
IF1_ECOLI,0.29,0.30,0.48,0.50,0.45,0.03,0.17,cp,1
IF2_ECOLI,0.22,0.36,0.48,0.50,0.35,0.39,0.47,cp,1
ILVY_ECOLI,0.23,0.58,0.48,0.50,0.37,0.53,0.59,cp,1
IPYR_ECOLI,0.47,0.47,0.48,0.50,0.22,0.16,0.26,cp,1
KAD_ECOLI,0.54,0.47,0.48,0.50,0.28,0.33,0.42,cp,1
KDSA_ECOLI,0.51,0.37,0.48,0.50,0.35,0.36,0.45,cp,1
LEU3_ECOLI,0.40,0.35,0.48,0.50,0.45,0.33,0.42,cp,1
LON_ECOLI,0.44,0.34,0.48,0.50,0.30,0.33,0.43,cp,1
LPLA_ECOLI,0.42,0.38,0.48,0.50,0.54,0.34,0.43,cp,1
LYSR_ECOLI,0.44,0.56,0.48,0.50,0.50,0.46,0.54,cp,1
MALQ_ECOLI,0.52,0.36,0.48,0.50,0.41,0.28,0.38,cp,1
MALZ_ECOLI,0.36,0.41,0.48,0.50,0.48,0.47,0.54,cp,1
MASY_ECOLI,0.18,0.30,0.48,0.50,0.46,0.24,0.35,cp,1
METB_ECOLI,0.47,0.29,0.48,0.50,0.51,0.33,0.43,cp,1
METC_ECOLI,0.24,0.43,0.48,0.50,0.54,0.52,0.59,cp,1
METK_ECOLI,0.25,0.37,0.48,0.50,0.41,0.33,0.42,cp,1
METR_ECOLI,0.52,0.57,0.48,0.50,0.42,0.47,0.54,cp,1
METX_ECOLI,0.25,0.37,0.48,0.50,0.43,0.26,0.36,cp,1
MURF_ECOLI,0.35,0.48,0.48,0.50,0.56,0.40,0.48,cp,1
NADA_ECOLI,0.26,0.26,0.48,0.50,0.34,0.25,0.35,cp,1
NFRC_ECOLI,0.44,0.51,0.48,0.50,0.47,0.26,0.36,cp,1
NHAR_ECOLI,0.37,0.50,0.48,0.50,0.42,0.36,0.45,cp,1
NIRD_ECOLI,0.44,0.42,0.48,0.50,0.42,0.25,0.20,cp,1
OMPR_ECOLI,0.24,0.43,0.48,0.50,0.37,0.28,0.38,cp,1
OTC1_ECOLI,0.42,0.30,0.48,0.50,0.48,0.26,0.36,cp,1
OTC2_ECOLI,0.48,0.42,0.48,0.50,0.45,0.25,0.35,cp,1
PEPE_ECOLI,0.41,0.48,0.48,0.50,0.51,0.44,0.51,cp,1
PFLA_ECOLI,0.44,0.28,0.48,0.50,0.43,0.27,0.37,cp,1
PFLB_ECOLI,0.29,0.41,0.48,0.50,0.48,0.38,0.46,cp,1
PGK_ECOLI,0.34,0.28,0.48,0.50,0.41,0.35,0.44,cp,1
PHOB_ECOLI,0.41,0.43,0.48,0.50,0.45,0.31,0.41,cp,1
PHOH_ECOLI,0.29,0.47,0.48,0.50,0.41,0.23,0.34,cp,1
PMBA_ECOLI,0.34,0.55,0.48,0.50,0.58,0.31,0.41,cp,1
PNP_ECOLI,0.36,0.56,0.48,0.50,0.43,0.45,0.53,cp,1
PROB_ECOLI,0.40,0.46,0.48,0.50,0.52,0.49,0.56,cp,1
PT1A_ECOLI,0.50,0.49,0.48,0.50,0.49,0.46,0.53,cp,1
PT1_ECOLI,0.52,0.44,0.48,0.50,0.37,0.36,0.42,cp,1
PTCA_ECOLI,0.50,0.51,0.48,0.50,0.27,0.23,0.34,cp,1
PTCB_ECOLI,0.53,0.42,0.48,0.50,0.16,0.29,0.39,cp,1
PTFA_ECOLI,0.34,0.46,0.48,0.50,0.52,0.35,0.44,cp,1
PTGA_ECOLI,0.40,0.42,0.48,0.50,0.37,0.27,0.27,cp,1
PTHA_ECOLI,0.41,0.43,0.48,0.50,0.50,0.24,0.25,cp,1
PTHP_ECOLI,0.30,0.45,0.48,0.50,0.36,0.21,0.32,cp,1
PTKA_ECOLI,0.31,0.47,0.48,0.50,0.29,0.28,0.39,cp,1
PTKB_ECOLI,0.64,0.76,0.48,0.50,0.45,0.35,0.38,cp,1
PTNA_ECOLI,0.35,0.37,0.48,0.50,0.30,0.34,0.43,cp,1
PTWB_ECOLI,0.57,0.54,0.48,0.50,0.37,0.28,0.33,cp,1
PTWX_ECOLI,0.65,0.55,0.48,0.50,0.34,0.37,0.28,cp,1
RHAR_ECOLI,0.51,0.46,0.48,0.50,0.58,0.31,0.41,cp,1
RHAS_ECOLI,0.38,0.40,0.48,0.50,0.63,0.25,0.35,cp,1
RIMI_ECOLI,0.24,0.57,0.48,0.50,0.63,0.34,0.43,cp,1
RIMJ_ECOLI,0.38,0.26,0.48,0.50,0.54,0.16,0.28,cp,1
RIML_ECOLI,0.33,0.47,0.48,0.50,0.53,0.18,0.29,cp,1
RNB_ECOLI,0.24,0.34,0.48,0.50,0.38,0.30,0.40,cp,1
RNC_ECOLI,0.26,0.50,0.48,0.50,0.44,0.32,0.41,cp,1
RND_ECOLI,0.44,0.49,0.48,0.50,0.39,0.38,0.40,cp,1
RNE_ECOLI,0.43,0.32,0.48,0.50,0.33,0.45,0.52,cp,1
SERC_ECOLI,0.49,0.43,0.48,0.50,0.49,0.30,0.40,cp,1
SLYD_ECOLI,0.47,0.28,0.48,0.50,0.56,0.20,0.25,cp,1
SOXS_ECOLI,0.32,0.33,0.48,0.50,0.60,0.06,0.20,cp,1
SYA_ECOLI,0.34,0.35,0.48,0.50,0.51,0.49,0.56,cp,1
SYC_ECOLI,0.35,0.34,0.48,0.50,0.46,0.30,0.27,cp,1
SYD_ECOLI,0.38,0.30,0.48,0.50,0.43,0.29,0.39,cp,1
SYE_ECOLI,0.38,0.44,0.48,0.50,0.43,0.20,0.31,cp,1
SYFA_ECOLI,0.41,0.51,0.48,0.50,0.58,0.20,0.31,cp,1
SYFB_ECOLI,0.34,0.42,0.48,0.50,0.41,0.34,0.43,cp,1
SYGA_ECOLI,0.51,0.49,0.48,0.50,0.53,0.14,0.26,cp,1
SYGB_ECOLI,0.25,0.51,0.48,0.50,0.37,0.42,0.50,cp,1
SYH_ECOLI,0.29,0.28,0.48,0.50,0.50,0.42,0.50,cp,1
SYI_ECOLI,0.25,0.26,0.48,0.50,0.39,0.32,0.42,cp,1
SYK1_ECOLI,0.24,0.41,0.48,0.50,0.49,0.23,0.34,cp,1
SYK2_ECOLI,0.17,0.39,0.48,0.50,0.53,0.30,0.39,cp,1
SYL_ECOLI,0.04,0.31,0.48,0.50,0.41,0.29,0.39,cp,1
SYM_ECOLI,0.61,0.36,0.48,0.50,0.49,0.35,0.44,cp,1
SYP_ECOLI,0.34,0.51,0.48,0.50,0.44,0.37,0.46,cp,1
SYQ_ECOLI,0.28,0.33,0.48,0.50,0.45,0.22,0.33,cp,1
SYR_ECOLI,0.40,0.46,0.48,0.50,0.42,0.35,0.44,cp,1
SYS_ECOLI,0.23,0.34,0.48,0.50,0.43,0.26,0.37,cp,1
SYT_ECOLI,0.37,0.44,0.48,0.50,0.42,0.39,0.47,cp,1
SYV_ECOLI,0.00,0.38,0.48,0.50,0.42,0.48,0.55,cp,1
SYW_ECOLI,0.39,0.31,0.48,0.50,0.38,0.34,0.43,cp,1
SYY_ECOLI,0.30,0.44,0.48,0.50,0.49,0.22,0.33,cp,1
THGA_ECOLI,0.27,0.30,0.48,0.50,0.71,0.28,0.39,cp,1
THIK_ECOLI,0.17,0.52,0.48,0.50,0.49,0.37,0.46,cp,1
TYRB_ECOLI,0.36,0.42,0.48,0.50,0.53,0.32,0.41,cp,1
UBIC_ECOLI,0.30,0.37,0.48,0.50,0.43,0.18,0.30,cp,1
UGPQ_ECOLI,0.26,0.40,0.48,0.50,0.36,0.26,0.37,cp,1
USPA_ECOLI,0.40,0.41,0.48,0.50,0.55,0.22,0.33,cp,1
UVRB_ECOLI,0.22,0.34,0.48,0.50,0.42,0.29,0.39,cp,1
UVRC_ECOLI,0.44,0.35,0.48,0.50,0.44,0.52,0.59,cp,1
XGPT_ECOLI,0.27,0.42,0.48,0.50,0.37,0.38,0.43,cp,1
XYLA_ECOLI,0.16,0.43,0.48,0.50,0.54,0.27,0.37,cp,1
EMRA_ECOLI,0.06,0.61,0.48,0.50,0.49,0.92,0.37,im,1
AAS_ECOLI,0.44,0.52,0.48,0.50,0.43,0.47,0.54,im,1
AMPE_ECOLI,0.63,0.47,0.48,0.50,0.51,0.82,0.84,im,1
ARAE_ECOLI,0.23,0.48,0.48,0.50,0.59,0.88,0.89,im,1
ARAH_ECOLI,0.34,0.49,0.48,0.50,0.58,0.85,0.80,im,1
AROP_ECOLI,0.43,0.40,0.48,0.50,0.58,0.75,0.78,im,1
ATKB_ECOLI,0.46,0.61,0.48,0.50,0.48,0.86,0.87,im,1
ATP6_ECOLI,0.27,0.35,0.48,0.50,0.51,0.77,0.79,im,1
BETT_ECOLI,0.52,0.39,0.48,0.50,0.65,0.71,0.73,im,1
CODB_ECOLI,0.29,0.47,0.48,0.50,0.71,0.65,0.69,im,1
CYDA_ECOLI,0.55,0.47,0.48,0.50,0.57,0.78,0.80,im,1
CYOC_ECOLI,0.12,0.67,0.48,0.50,0.74,0.58,0.63,im,1
CYOD_ECOLI,0.40,0.50,0.48,0.50,0.65,0.82,0.84,im,1
DCTA_ECOLI,0.73,0.36,0.48,0.50,0.53,0.91,0.92,im,1
DHG_ECOLI,0.84,0.44,0.48,0.50,0.48,0.71,0.74,im,1
DHSC_ECOLI,0.48,0.45,0.48,0.50,0.60,0.78,0.80,im,1
DHSD_ECOLI,0.54,0.49,0.48,0.50,0.40,0.87,0.88,im,1
DPPC_ECOLI,0.48,0.41,0.48,0.50,0.51,0.90,0.88,im,1
DSBB_ECOLI,0.50,0.66,0.48,0.50,0.31,0.92,0.92,im,1
ENVZ_ECOLI,0.72,0.46,0.48,0.50,0.51,0.66,0.70,im,1
EXBB_ECOLI,0.47,0.55,0.48,0.50,0.58,0.71,0.75,im,1
FRDC_ECOLI,0.33,0.56,0.48,0.50,0.33,0.78,0.80,im,1
FRDD_ECOLI,0.64,0.58,0.48,0.50,0.48,0.78,0.73,im,1
FTSW_ECOLI,0.54,0.57,0.48,0.50,0.56,0.81,0.83,im,1
GABP_ECOLI,0.47,0.59,0.48,0.50,0.52,0.76,0.79,im,1
GALP_ECOLI,0.63,0.50,0.48,0.50,0.59,0.85,0.86,im,1
GLNP_ECOLI,0.49,0.42,0.48,0.50,0.53,0.79,0.81,im,1
GLPT_ECOLI,0.31,0.50,0.48,0.50,0.57,0.84,0.85,im,1
GLTP_ECOLI,0.74,0.44,0.48,0.50,0.55,0.88,0.89,im,1
KDGL_ECOLI,0.33,0.45,0.48,0.50,0.45,0.88,0.89,im,1
KGTP_ECOLI,0.45,0.40,0.48,0.50,0.61,0.74,0.77,im,1
LACY_ECOLI,0.71,0.40,0.48,0.50,0.71,0.70,0.74,im,1
LGT_ECOLI,0.50,0.37,0.48,0.50,0.66,0.64,0.69,im,1
LLDP_ECOLI,0.66,0.53,0.48,0.50,0.59,0.66,0.66,im,1
LNT_ECOLI,0.60,0.61,0.48,0.50,0.54,0.67,0.71,im,1
LSPA_ECOLI,0.83,0.37,0.48,0.50,0.61,0.71,0.74,im,1
LYSP_ECOLI,0.34,0.51,0.48,0.50,0.67,0.90,0.90,im,1
MALF_ECOLI,0.63,0.54,0.48,0.50,0.65,0.79,0.81,im,1
MALG_ECOLI,0.70,0.40,0.48,0.50,0.56,0.86,0.83,im,1
MCP3_ECOLI,0.60,0.50,1.00,0.50,0.54,0.77,0.80,im,1
MSBB_ECOLI,0.16,0.51,0.48,0.50,0.33,0.39,0.48,im,1
MTR_ECOLI,0.74,0.70,0.48,0.50,0.66,0.65,0.69,im,1
NANT_ECOLI,0.20,0.46,0.48,0.50,0.57,0.78,0.81,im,1
NHAA_ECOLI,0.89,0.55,0.48,0.50,0.51,0.72,0.76,im,1
NHAB_ECOLI,0.70,0.46,0.48,0.50,0.56,0.78,0.73,im,1
PHEP_ECOLI,0.12,0.43,0.48,0.50,0.63,0.70,0.74,im,1
PHOR_ECOLI,0.61,0.52,0.48,0.50,0.54,0.67,0.52,im,1
PNTA_ECOLI,0.33,0.37,0.48,0.50,0.46,0.65,0.69,im,1
POTE_ECOLI,0.63,0.65,0.48,0.50,0.66,0.67,0.71,im,1
PROP_ECOLI,0.41,0.51,0.48,0.50,0.53,0.75,0.78,im,1
PSTA_ECOLI,0.34,0.67,0.48,0.50,0.52,0.76,0.79,im,1
PSTC_ECOLI,0.58,0.34,0.48,0.50,0.56,0.87,0.81,im,1
PTAA_ECOLI,0.59,0.56,0.48,0.50,0.55,0.80,0.82,im,1
PTBA_ECOLI,0.51,0.40,0.48,0.50,0.57,0.62,0.67,im,1
PTCC_ECOLI,0.50,0.57,0.48,0.50,0.71,0.61,0.66,im,1
PTDA_ECOLI,0.60,0.46,0.48,0.50,0.45,0.81,0.83,im,1
PTFB_ECOLI,0.37,0.47,0.48,0.50,0.39,0.76,0.79,im,1
PTGB_ECOLI,0.58,0.55,0.48,0.50,0.57,0.70,0.74,im,1
PTHB_ECOLI,0.36,0.47,0.48,0.50,0.51,0.69,0.72,im,1
PTMA_ECOLI,0.39,0.41,0.48,0.50,0.52,0.72,0.75,im,1
PTOA_ECOLI,0.35,0.51,0.48,0.50,0.61,0.71,0.74,im,1
PTTB_ECOLI,0.31,0.44,0.48,0.50,0.50,0.79,0.82,im,1
RODA_ECOLI,0.61,0.66,0.48,0.50,0.46,0.87,0.88,im,1
SECE_ECOLI,0.48,0.49,0.48,0.50,0.52,0.77,0.71,im,1
SECF_ECOLI,0.11,0.50,0.48,0.50,0.58,0.72,0.68,im,1
SECY_ECOLI,0.31,0.36,0.48,0.50,0.58,0.94,0.94,im,1
TNAB_ECOLI,0.68,0.51,0.48,0.50,0.71,0.75,0.78,im,1
XYLE_ECOLI,0.69,0.39,0.48,0.50,0.57,0.76,0.79,im,1
YCEE_ECOLI,0.52,0.54,0.48,0.50,0.62,0.76,0.79,im,1
EXBD_ECOLI,0.46,0.59,0.48,0.50,0.36,0.76,0.23,im,1
FTSL_ECOLI,0.36,0.45,0.48,0.50,0.38,0.79,0.17,im,1
FTSN_ECOLI,0.00,0.51,0.48,0.50,0.35,0.67,0.44,im,1
FTSQ_ECOLI,0.10,0.49,0.48,0.50,0.41,0.67,0.21,im,1
MOTB_ECOLI,0.30,0.51,0.48,0.50,0.42,0.61,0.34,im,1
TOLA_ECOLI,0.61,0.47,0.48,0.50,0.00,0.80,0.32,im,1
TOLQ_ECOLI,0.63,0.75,0.48,0.50,0.64,0.73,0.66,im,1
EMRB_ECOLI,0.71,0.52,0.48,0.50,0.64,1.00,0.99,im,1
ATKC_ECOLI,0.85,0.53,0.48,0.50,0.53,0.52,0.35,imS,1
NFRB_ECOLI,0.63,0.49,0.48,0.50,0.54,0.76,0.79,imS,1
NLPA_ECOLI,0.75,0.55,1.00,1.00,0.40,0.47,0.30,imL,1
CYOA_ECOLI,0.70,0.39,1.00,0.50,0.51,0.82,0.84,imL,1
ATKA_ECOLI,0.72,0.42,0.48,0.50,0.65,0.77,0.79,imU,1
BCR_ECOLI,0.79,0.41,0.48,0.50,0.66,0.81,0.83,imU,1
CADB_ECOLI,0.83,0.48,0.48,0.50,0.65,0.76,0.79,imU,1
CAIT_ECOLI,0.69,0.43,0.48,0.50,0.59,0.74,0.77,imU,1
CPXA_ECOLI,0.79,0.36,0.48,0.50,0.46,0.82,0.70,imU,1
CRED_ECOLI,0.78,0.33,0.48,0.50,0.57,0.77,0.79,imU,1
CYDB_ECOLI,0.75,0.37,0.48,0.50,0.64,0.70,0.74,imU,1
CYOB_ECOLI,0.59,0.29,0.48,0.50,0.64,0.75,0.77,imU,1
CYOE_ECOLI,0.67,0.37,0.48,0.50,0.54,0.64,0.68,imU,1
DMSC_ECOLI,0.66,0.48,0.48,0.50,0.54,0.70,0.74,imU,1
DPPB_ECOLI,0.64,0.46,0.48,0.50,0.48,0.73,0.76,imU,1
DSBD_ECOLI,0.76,0.71,0.48,0.50,0.50,0.71,0.75,imU,1
FEPD_ECOLI,0.84,0.49,0.48,0.50,0.55,0.78,0.74,imU,1
FEPG_ECOLI,0.77,0.55,0.48,0.50,0.51,0.78,0.74,imU,1
FTSH_ECOLI,0.81,0.44,0.48,0.50,0.42,0.67,0.68,imU,1
GLTS_ECOLI,0.58,0.60,0.48,0.50,0.59,0.73,0.76,imU,1
KEFC_ECOLI,0.63,0.42,0.48,0.50,0.48,0.77,0.80,imU,1
KUP_ECOLI,0.62,0.42,0.48,0.50,0.58,0.79,0.81,imU,1
MCP1_ECOLI,0.86,0.39,0.48,0.50,0.59,0.89,0.90,imU,1
MCP2_ECOLI,0.81,0.53,0.48,0.50,0.57,0.87,0.88,imU,1
MCP4_ECOLI,0.87,0.49,0.48,0.50,0.61,0.76,0.79,imU,1
MELB_ECOLI,0.47,0.46,0.48,0.50,0.62,0.74,0.77,imU,1
MOTA_ECOLI,0.76,0.41,0.48,0.50,0.50,0.59,0.62,imU,1
NUPC_ECOLI,0.70,0.53,0.48,0.50,0.70,0.86,0.87,imU,1
NUPG_ECOLI,0.64,0.45,0.48,0.50,0.67,0.61,0.66,imU,1
PNTB_ECOLI,0.81,0.52,0.48,0.50,0.57,0.78,0.80,imU,1
PTKC_ECOLI,0.73,0.26,0.48,0.50,0.57,0.75,0.78,imU,1
RHAT_ECOLI,0.49,0.61,1.00,0.50,0.56,0.71,0.74,imU,1
SECD_ECOLI,0.88,0.42,0.48,0.50,0.52,0.73,0.75,imU,1
SECG_ECOLI,0.84,0.54,0.48,0.50,0.75,0.92,0.70,imU,1
TEHA_ECOLI,0.63,0.51,0.48,0.50,0.64,0.72,0.76,imU,1
TYRP_ECOLI,0.86,0.55,0.48,0.50,0.63,0.81,0.83,imU,1
UHPB_ECOLI,0.79,0.54,0.48,0.50,0.50,0.66,0.68,imU,1
TONB_ECOLI,0.57,0.38,0.48,0.50,0.06,0.49,0.33,imU,1
LEP_ECOLI,0.78,0.44,0.48,0.50,0.45,0.73,0.68,imU,1
FADL_ECOLI,0.78,0.68,0.48,0.50,0.83,0.40,0.29,om,1
FHUA_ECOLI,0.63,0.69,0.48,0.50,0.65,0.41,0.28,om,1
LAMB_ECOLI,0.67,0.88,0.48,0.50,0.73,0.50,0.25,om,1
NFRA_ECOLI,0.61,0.75,0.48,0.50,0.51,0.33,0.33,om,1
NMPC_ECOLI,0.67,0.84,0.48,0.50,0.74,0.54,0.37,om,1
OMPA_ECOLI,0.74,0.90,0.48,0.50,0.57,0.53,0.29,om,1
OMPC_ECOLI,0.73,0.84,0.48,0.50,0.86,0.58,0.29,om,1
OMPF_ECOLI,0.75,0.76,0.48,0.50,0.83,0.57,0.30,om,1
OMPX_ECOLI,0.77,0.57,0.48,0.50,0.88,0.53,0.20,om,1
PHOE_ECOLI,0.74,0.78,0.48,0.50,0.75,0.54,0.15,om,1
TSX_ECOLI,0.68,0.76,0.48,0.50,0.84,0.45,0.27,om,1
BTUB_ECOLI,0.56,0.68,0.48,0.50,0.77,0.36,0.45,om,1
CIRA_ECOLI,0.65,0.51,0.48,0.50,0.66,0.54,0.33,om,1
FECA_ECOLI,0.52,0.81,0.48,0.50,0.72,0.38,0.38,om,1
FEPA_ECOLI,0.64,0.57,0.48,0.50,0.70,0.33,0.26,om,1
FHUE_ECOLI,0.60,0.76,1.00,0.50,0.77,0.59,0.52,om,1
OMPP_ECOLI,0.69,0.59,0.48,0.50,0.77,0.39,0.21,om,1
OMPT_ECOLI,0.63,0.49,0.48,0.50,0.79,0.45,0.28,om,1
TOLC_ECOLI,0.71,0.71,0.48,0.50,0.68,0.43,0.36,om,1
PA1_ECOLI,0.68,0.63,0.48,0.50,0.73,0.40,0.30,om,1
MULI_ECOLI,0.77,0.57,1.00,0.50,0.37,0.54,0.01,omL,1
NLPB_ECOLI,0.66,0.49,1.00,0.50,0.54,0.56,0.36,omL,1
NLPE_ECOLI,0.71,0.46,1.00,0.50,0.52,0.59,0.30,omL,1
PAL_ECOLI,0.67,0.55,1.00,0.50,0.66,0.58,0.16,omL,1
SLP_ECOLI,0.68,0.49,1.00,0.50,0.62,0.55,0.28,omL,1
AGP_ECOLI,0.74,0.49,0.48,0.50,0.42,0.54,0.36,pp,0
AMY1_ECOLI,0.70,0.61,0.48,0.50,0.56,0.52,0.43,pp,0
ARAF_ECOLI,0.66,0.86,0.48,0.50,0.34,0.41,0.36,pp,0
ASG2_ECOLI,0.73,0.78,0.48,0.50,0.58,0.51,0.31,pp,0
BGLX_ECOLI,0.65,0.57,0.48,0.50,0.47,0.47,0.51,pp,0
C562_ECOLI,0.72,0.86,0.48,0.50,0.17,0.55,0.21,pp,0
CN16_ECOLI,0.67,0.70,0.48,0.50,0.46,0.45,0.33,pp,0
CYPH_ECOLI,0.67,0.81,0.48,0.50,0.54,0.49,0.23,pp,0
CYSP_ECOLI,0.67,0.61,0.48,0.50,0.51,0.37,0.38,pp,0
DGAL_ECOLI,0.63,1.00,0.48,0.50,0.35,0.51,0.49,pp,0
DPPA_ECOLI,0.57,0.59,0.48,0.50,0.39,0.47,0.33,pp,0
DSBA_ECOLI,0.71,0.71,0.48,0.50,0.40,0.54,0.39,pp,0
DSBC_ECOLI,0.66,0.74,0.48,0.50,0.31,0.38,0.43,pp,0
ECOT_ECOLI,0.67,0.81,0.48,0.50,0.25,0.42,0.25,pp,0
ECPD_ECOLI,0.64,0.72,0.48,0.50,0.49,0.42,0.19,pp,0
FECB_ECOLI,0.68,0.82,0.48,0.50,0.38,0.65,0.56,pp,0
FECR_ECOLI,0.32,0.39,0.48,0.50,0.53,0.28,0.38,pp,0
FEPB_ECOLI,0.70,0.64,0.48,0.50,0.47,0.51,0.47,pp,0
FIMC_ECOLI,0.63,0.57,0.48,0.50,0.49,0.70,0.20,pp,0
GGT_ECOLI,0.74,0.82,0.48,0.50,0.49,0.49,0.41,pp,0
GLNH_ECOLI,0.63,0.86,0.48,0.50,0.39,0.47,0.34,pp,0
GLPQ_ECOLI,0.63,0.83,0.48,0.50,0.40,0.39,0.19,pp,0
HTRA_ECOLI,0.63,0.71,0.48,0.50,0.60,0.40,0.39,pp,0
LIVJ_ECOLI,0.71,0.86,0.48,0.50,0.40,0.54,0.32,pp,0
LIVK_ECOLI,0.68,0.78,0.48,0.50,0.43,0.44,0.42,pp,0
MALE_ECOLI,0.64,0.84,0.48,0.50,0.37,0.45,0.40,pp,0
MALM_ECOLI,0.74,0.47,0.48,0.50,0.50,0.57,0.42,pp,0
MEPA_ECOLI,0.75,0.84,0.48,0.50,0.35,0.52,0.33,pp,0
MODA_ECOLI,0.63,0.65,0.48,0.50,0.39,0.44,0.35,pp,0
NRFA_ECOLI,0.69,0.67,0.48,0.50,0.30,0.39,0.24,pp,0
NRFF_ECOLI,0.70,0.71,0.48,0.50,0.42,0.84,0.85,pp,0
OPPA_ECOLI,0.69,0.80,0.48,0.50,0.46,0.57,0.26,pp,0
OSMY_ECOLI,0.64,0.66,0.48,0.50,0.41,0.39,0.20,pp,0
POTD_ECOLI,0.63,0.80,0.48,0.50,0.46,0.31,0.29,pp,0
POTF_ECOLI,0.66,0.71,0.48,0.50,0.41,0.50,0.35,pp,0
PPA_ECOLI,0.69,0.59,0.48,0.50,0.46,0.44,0.52,pp,0
PPB_ECOLI,0.68,0.67,0.48,0.50,0.49,0.40,0.34,pp,0
